  Average Value Weighted Returns -- Monthly,,,,,,,,,,
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
198901,5.65,7.6,7.5,6.26,7.12,8.34,6.27,6.79,2.74,6.84
198902,-1.44,-2.96,-2.1,-1.29,-3.76,-1.37,-1.85,-1.16,-1.82,-0.48
198903,5.52,-1.35,1.19,3.89,-5.5,5.21,2.76,4.93,0.54,3.54
198904,5.67,0.49,5.38,2.49,5.17,9.68,5.54,5.42,3.94,4.61
198905,5.32,2.31,3.62,2.67,2.47,5.88,5.34,3.41,5.37,4.24
198906,1.5,1.3,-2.68,-1.01,-3.29,0.19,-2.16,-2.75,3.38,0.79
198907,11.97,5.23,7.62,3.78,2.96,9.09,9.16,13.9,5.8,8.16
198908,-1.97,5.17,4.38,3.52,2.52,0.8,2.58,0.39,-0.8,3.22
198909,-0.58,-4.5,-2.59,1.35,-2.68,4.03,-2.33,2.42,0.48,1.39
198910,-2.45,-5.71,-4.38,0.75,-4.43,-1.96,-4.04,0.38,1,-4.87
198911,1.68,-1.09,3.07,3.98,-1.79,2.11,1.25,4.57,3.23,-0.08
198912,1.38,-1.45,2.98,6.01,-1.12,5.84,1.18,1.04,4.79,-1.6
199001,-9.47,-3.87,-6.34,-4.29,-1.29,-13.03,-6.38,-7.31,-5.34,-9
199002,-0.54,5.04,2.55,3.11,4.11,-0.26,1.91,-2.08,0.21,2.51
199003,4.64,2.88,3.9,-0.57,4.46,4.25,5.13,3.84,-0.75,-0.38
199004,-0.18,-4.06,-2.76,-3.56,-2.02,-3.27,-2.06,0.3,-5.5,-3.42
199005,9.07,7.72,8.08,6.02,12.58,9.2,11.58,12.8,5.43,9.17
199006,2.08,-2.19,-0.59,-2.04,-1.17,-4.73,1.54,4.42,0.75,-1.72
199007,-0.81,-3.43,0.17,8.28,-7.35,-4.41,-4.11,2.58,0.89,-3.57
199008,-7.36,-14.27,-12.06,-1.28,-12,-10.43,-12.07,-6.78,-6.62,-11.32
199009,-4.07,-10.57,-8,-1.61,-6.64,1.81,-8.73,-4.37,0.48,-10.07
199010,2.5,-3.25,-1.84,-4.02,-3.4,3.01,-3.04,1.41,7.23,-6.43
199011,6.56,4.13,7.38,1.63,11.27,2.11,10.42,9.49,2.29,10.65
199012,4.39,-0.42,4.88,-2.02,4.12,1.5,3.36,2.79,0.78,5.5
199101,5.12,7.32,6.37,-2.05,15.02,0.02,9.3,4.55,-1.37,7.47
199102,10.3,10.24,5.87,8.55,6.61,3.25,8.33,9.9,4.84,9.74
199103,4.8,1.18,1.37,1.3,1.3,2.14,8.61,5.44,1.71,3.07
199104,-1,-2.29,0.54,2.46,-2.88,1.13,1.99,-1.14,-0.04,1.34
199105,3.6,14.75,7.55,-1.4,3.52,-1.47,7.72,4.7,0.15,4.99
199106,-4.94,-4.47,-4.27,-3.64,-8.78,-1.5,-4.29,-4.21,-2.37,-5.24
199107,5.76,-0.44,3.12,5.03,4.66,3.11,5.31,8.51,3.99,4.73
199108,5.47,-2.16,1.86,1.62,2.84,0.67,3.6,2.94,3.51,3.19
199109,-3.24,-2.66,-2.33,-0.68,-1.34,0.37,-3.18,-0.33,3.71,-0.65
199110,-0.55,-2.01,1.46,2.05,2,1.9,-1.95,6.53,1.25,2.27
199111,-0.42,-7.99,-5.55,-7.69,-4.39,-4.75,-1.17,-2.52,1.89,-5.41
199112,14.73,7.61,11.57,2.11,9.16,9.92,13.03,16.61,4.99,12.75
199201,-3.1,10.5,2.32,-4.12,6.7,-2.87,0.27,-5.45,-4.57,2
199202,1.05,12.32,2.19,-0.53,3.86,-1.45,2.63,-2.73,-1.24,3.08
199203,-1.51,0.8,-1.16,-2.75,-5.18,-0.83,-1.38,-5.53,-0.53,-2.16
199204,0.75,7.92,3.04,9.45,-1.03,7.04,-3.5,-2.3,2.69,0.58
199205,1.31,-1.92,-0.62,3.18,0.02,-2.46,0.24,1.11,2.54,1.48
199206,-2.8,2.18,-3.25,-3.5,-4.16,1.32,-1.89,-4.78,0.54,-0.05
199207,4.67,0.28,2.93,5.31,2.96,5.44,3.79,5.8,6.72,3.11
199208,0.87,-9.6,-3.52,2.59,-4.52,-0.97,-0.54,-3.36,-0.47,-3.47
199209,1.06,0.09,1.79,0.13,3.4,1.91,4.1,-4.98,0.83,3.43
199210,-0.82,-0.01,0.94,-3.47,2.12,-0.54,4.38,3.34,-0.43,2.97
199211,3.62,8.56,3.93,-2.69,6.37,3.88,7.09,4.84,-0.23,6.12
199212,0.05,3.36,1.4,1.92,0.01,5.65,0.65,-1.35,2.7,3.82
199301,-0.8,9.59,0.13,2.77,4.86,1.33,0.07,-6.86,2.45,3.37
199302,-2.14,-0.29,1.73,5.99,-0.33,5.71,-1.47,-9,6.22,0.37
199303,0,5.4,2.18,4.11,2.23,3.27,2.77,0.73,1.76,3.79
199304,-9.32,2.43,0.04,1.14,-3.75,-2.87,-8.14,1.29,-0.15,-3.27
199305,2.67,1.08,2.34,1.77,8.81,4.16,5.92,3.59,-0.04,1.64
199306,-0.69,3.45,-0.26,-1.16,-0.41,4.64,-2.86,-2.96,3.18,2.29
199307,-2.36,1.51,-0.09,0.48,-3.87,2.14,0.73,-5.99,1.94,2.06
199308,4.29,0.46,3.46,4.23,6.45,5.24,3.93,3.02,3.69,3.46
199309,-1.83,1.01,-1.89,1.36,1.32,-0.49,-0.35,0.86,-0.64,1.79
199310,6.06,7.7,3.09,-1.95,1.62,2.41,4.77,5.92,-1.96,-2.36
199311,0.68,0.68,1.33,-5.97,-0.05,-5.95,0.58,0.97,-5.52,-2.83
199312,1.47,4.44,3.75,0.61,2.97,-0.53,-1.86,2.33,1.61,2.53
199401,-0.42,7.16,4.86,4.89,4.69,2.16,1.11,1.81,-1.21,4.37
199402,-1.27,-4.43,-0.66,-2.94,1.63,-5.5,1.88,-5.6,-4.97,-3.87
199403,-4.02,-6.47,-4.44,-3.59,-3.91,-3.61,-4.85,-6.74,-3.92,-4.23
199404,1.23,-0.59,0.07,4.2,-1.6,1.57,0.23,2.27,2.13,1.35
199405,-1.35,-2.65,2.03,0.92,2,1.63,-1.83,4.28,-5.35,3.04
199406,-1.89,-3.42,-2.6,-2.7,-5.24,0.62,-2.63,-3.43,-3.12,-2.56
199407,2.95,3.56,4.59,3.24,3.84,3.1,0.97,1.1,5.16,2.7
199408,6.08,-0.09,4.72,-0.1,9.3,1.08,4.47,10.85,0.66,3.51
199409,-0.33,-5.08,-1.67,-2.1,-0.42,-1.23,-2.34,1.72,-2.77,-4.25
199410,2.19,-1.74,0.6,7.4,7.29,-0.12,1.31,0.88,1.57,0.05
199411,-1.67,-5.06,-5.45,-4.85,-2.11,-5.44,-3.42,0.44,0.27,-5.17
199412,1.33,3.88,4.01,-1.01,2.45,0.88,-2.77,0.57,0.35,1.41
199501,1.81,-5.77,-0.4,0.37,-0.81,4.16,1.56,6.18,6.21,4.71
199502,2.98,5.13,5.6,4.48,6.75,1.51,2.67,2.26,0.82,4.85
199503,2.75,1.43,3.49,5.28,4.55,0.25,3.62,2.8,-1.75,1.9
199504,1.9,1.45,2.94,2.24,8.26,1.62,-1.71,3,2.38,1.77
199505,4.78,4.78,3.18,4.09,3.03,0.93,2.65,1.63,6.02,4.49
199506,1.68,0.75,2.11,-3.08,9.89,3.89,4.93,4.5,-0.45,2.21
199507,1.16,2.64,3.57,2.3,7.9,5.04,3.58,5.52,-0.37,4.76
199508,0.65,0.76,-0.21,-1.58,-0.06,4.4,-2.72,1.04,0.99,3.73
199509,6.74,-0.52,2.15,1.3,1.38,5.77,2.87,7.37,6.27,4.5
199510,0.56,-4.79,-2.64,-0.28,1.39,0.15,-5.49,1.04,1.48,-2.04
199511,4.52,5.42,6.46,4.77,-0.65,2.8,6.16,4.99,1.58,6.12
199512,1.52,3.16,1.42,5.81,-4.32,4.13,-0.83,5.92,5.09,1.06
199601,2.62,3.51,3.29,-0.41,1.84,2.31,-0.3,6.02,1.86,3.54
199602,3.22,2,0.94,1.04,6.45,-2.5,4.41,-1.1,-2.65,2.15
199603,-0.84,4.33,3.42,5.01,-3.41,-2.01,5.99,0.24,-0.51,1.8
199604,0.15,3.53,1.71,3.44,10.09,2.86,4.26,-0.61,-2.66,0.25
199605,6.55,2.24,2.3,0.45,3.95,-0.02,4.4,3.89,1.32,1.51
199606,3.18,-4.93,-0.44,0.97,-4.94,0.55,-1.71,-0.24,5.25,-0.25
199607,-4.07,-4.5,-4,-4.64,-7.42,-8.49,-7.56,-6.28,-5.81,-4.26
199608,-0.8,3.07,3.25,2.94,4.39,-1.33,5.94,4.32,2.89,3.9
199609,3.73,1.26,6.07,4.04,10.64,1.77,3.66,7.36,0.68,5.15
199610,1.58,3.74,1.6,5.97,-1.92,-0.46,-2.24,-0.85,3.6,3.95
199611,5.13,5.87,6.06,5.53,11.91,5.49,3.18,6.61,2.61,7.48
199612,0.5,-2.41,-0.4,0.8,-2.7,2.9,-3.52,-2.59,0.13,-1.83
199701,5.74,2.84,4.19,4.38,9.35,2.33,0.15,9.54,0.92,6.05
199702,4.13,0.56,0.7,-5.74,-7.4,2.57,3,0.93,-0.57,2.6
199703,-5.23,-3.23,-3.65,5.27,-5.67,-7.85,-1.33,-7.48,-2.78,-5.83
199704,5.31,3.9,5.4,0.05,7.65,2.57,2.27,6.11,-1.39,5.07
199705,5.93,6.27,7.82,7.32,10.19,6.56,5.95,6.99,3.79,6.14
199706,3.57,3.47,5.2,1.31,1.43,3.46,5.07,8.88,3.06,5.25
199707,3.34,7.42,7.21,7.45,15.98,2.46,7.82,2.1,2.81,9.28
199708,-6.39,1.28,-5.52,0.32,-1.37,-2.74,-2.55,-6.11,-1.16,-4.78
199709,5.53,5.31,3.35,6.3,3.46,9.7,5.22,6.62,4.64,8.04
199710,-3.14,-3.28,-5.88,-2.01,-8.29,2.89,-2.12,0.1,0.93,-2.76
199711,6.5,-1.59,4.23,-3.57,1.45,10.69,5.43,2.82,7.14,2.97
199712,3.77,3.97,-0.15,-1.45,-4.22,4.22,-0.25,3.53,7.94,5.14
199801,-2.74,0.5,0.7,-5.75,5.28,5.04,0.9,5.68,-4.4,-1.93
199802,4.96,12.27,7.14,6.84,10.35,2.41,10.36,5.51,2.63,8.25
199803,5.9,6.15,4.83,4.78,1.32,10.11,6.54,3.57,6.75,5.96
199804,-3.24,0.92,1.23,3.78,5.15,-3.2,-0.52,1.91,-2.52,1.96
199805,1.1,7.07,-2.46,-4.24,-7.01,-1.79,2.18,-2.5,-0.88,-3.07
199806,4.18,1.67,-0.6,-1.36,8.74,3.02,4.97,6.17,2.81,3.22
199807,-4.14,-1.24,-5.69,-6.73,0.45,3.93,-2.96,-0.26,-5.4,-1.86
199808,-13.1,-18.79,-14.31,-10.41,-17.65,-11.8,-14.24,-12.35,1.96,-21.46
199809,1.25,1.03,0.55,13.04,15.16,10.16,1.47,12.04,8.15,2.78
199810,10.99,11.04,11.29,1.25,6.27,6.86,10.7,3.87,-1.78,9.02
199811,6.42,5.32,3.61,0.42,11.67,3.61,9.49,6.19,1.34,6.11
199812,0.33,3.89,2.36,-1.2,15.2,14.35,9.23,5,2.86,3.45
199901,-3.48,5.2,0.52,-5.57,15.1,8.95,2.24,0.22,-6.24,0.95
199902,-3.98,-4.61,-2.03,-3.17,-11.48,-2.89,-1.37,0.18,-3.62,0.02
199903,-2.02,-0.25,4.76,15.41,8.41,-0.96,2.69,2.52,-1.64,2.44
199904,3.92,9.73,9.38,15.84,2.27,7.74,0.44,-5.53,7.35,6.69
199905,1.36,-4.61,-3.22,-3.1,-0.76,1.03,-3.07,-2.03,6.72,-3.91
199906,0.27,0.93,4.49,-1.41,11.62,5.82,8.16,4.49,-4.48,3.01
199907,-2.45,-5.86,-1.2,1.73,-1.71,-1.89,-5.03,-4.43,-0.44,-5.95
199908,-4.59,0.65,-0.53,1.82,5.5,-7.97,-5.94,3.71,0.55,-5.08
199909,-6.83,-8.45,-3.1,-4.02,-0.17,4.08,1.34,-7.07,-4.33,-4.52
199910,6.6,4.35,5.81,-1.49,3.01,8.77,3.18,10.77,2.21,11.54
199911,-1.1,-2.1,-1,3.82,12.71,4.43,4.17,1.51,-7.39,-2.48
199912,-2.63,2.67,10.33,0.84,20.77,2.93,6.68,-5.65,-2.28,1.37
200001,-4.72,-1.27,-8.69,1.24,-5.25,-3.54,-11.11,7.59,6.03,-4.77
200002,-6.27,-8.27,-3.85,-5.41,18,-4.1,-3.93,-2.75,-7.16,-7.38
200003,7.42,10.62,7.49,11.69,4.19,7.67,13.34,0.16,5.94,14.39
200004,-1.95,8.83,1.42,-1.99,-10.5,-7.62,-4.46,5.26,7.48,-2.85
200005,7.08,-12.51,-1.69,9.38,-10.76,-10.76,-2.84,3.96,3.97,3.36
200006,2.2,-9.03,-1.23,-5.05,12.61,4.04,-2.23,11.55,-4.72,-3.11
200007,0.72,4.86,-1.48,-2.58,-5.18,-7.46,-1.23,-6.47,4.21,5.34
200008,-2.08,5.36,7.38,8.74,12.68,-1.39,-2.39,3.46,11.76,9.24
200009,3.71,-4.31,-5.69,4.51,-14.82,-3.35,2.66,3.71,9.16,0.25
200010,7.74,2.47,3.51,-2.9,-7.48,-0.24,-1.83,2.08,-1.81,-1.29
200011,2.74,-11.53,-3.13,-2.53,-23.16,-15.46,-1.04,0.75,3.06,-6.02
200012,5.5,-0.18,6.95,7.69,-7.99,-4.57,5.66,3.51,6.6,7.13
200101,-2.2,13.4,-1.07,-3.37,16.03,14.38,6.43,-8.51,-10.77,0.07
200102,0.13,-1.16,-3.91,0.04,-26.05,-9.85,-5.36,-0.55,6.16,-4.3
200103,-4.78,-2.87,-6.1,-0.14,-13.86,-5.79,-2.88,-8.57,1.24,-4.51
200104,0.9,8.59,7.47,10.06,18.04,2.7,5.61,4.23,5.53,6.09
200105,3.39,-1.62,2.19,0.09,-3.21,-1.38,1.61,2.81,0.24,3.63
200106,-1.53,3.73,-4.63,-7.52,1.4,-3.11,-2.59,-3.07,-6.05,-0.08
200107,-0.17,3.18,0.52,-2.23,-7.53,-0.56,4.58,2.31,-3.83,-2.2
200108,2.47,-11.23,-1.99,-3.52,-12.65,-9.3,-6.98,-3.09,0.52,-5.35
200109,-2.98,-16.96,-12.8,-5.62,-18.98,-1.97,-9.52,-0.6,-6.58,-8
200110,1.26,1,3.88,4.73,15.73,-9.67,1.57,1.24,1.87,-0.97
200111,2.19,15.48,8.43,-4.07,15.89,5.8,9.82,5.03,-1.54,7.3
200112,1.92,-0.74,2.62,5.95,-0.64,2.54,4.33,-2.82,4.04,3.67
200201,1.46,2.94,1.54,-2.88,-0.5,-6.94,2.62,-2.41,-4.34,-1.68
200202,4.27,3.16,4.42,5.46,-13.09,-2.21,-0.15,-0.46,-0.37,-0.25
200203,4.03,6.86,4.97,7.67,6.47,0.12,2.09,0.54,10.28,5.18
200204,2.47,1.8,-1.44,-4.54,-11.77,-12.96,-1.63,-7.52,-0.41,-2.82
200205,1.25,-0.31,-0.28,-0.77,-3.74,3.2,-1.43,-2.27,-6.91,-0.52
200206,-5.85,-8.1,-3.06,-0.06,-12.13,-14.02,-5.1,-9.68,-5.8,-5.16
200207,-6.62,-12.18,-8.5,-11.83,-9.74,-11.79,-11.43,-2.57,-12.13,-6.38
200208,2.24,0.57,-1.27,0.63,-0.94,0.14,1.85,0.63,3.41,1.14
200209,-7.67,-10.93,-8.35,-8.11,-16.6,-9.63,-9.43,-5.88,-10.84,-10.6
200210,5.06,-3.09,3.79,3.18,19.4,22.11,5.74,5.67,-0.62,6.37
200211,-1.09,11.9,6.26,3.01,16.24,11.76,1.89,3.78,1.57,4.21
200212,-0.25,-7.17,-3.77,0.84,-12.91,-9.44,-6.97,-4.07,3.84,-4.79
200301,-3.94,-3.16,-4.09,-2.5,-1.5,-4,-4.77,-0.61,-3.27,-2.38
200302,-2.88,-4.99,-2.26,1.94,1.17,-6.61,-1.22,-1.96,-3.97,-2.7
200303,-2.59,-2.63,1.31,1.5,-0.95,-0.66,4.65,3.79,4.31,1.04
200304,4.39,14.96,6.38,-0.47,9.18,11.5,8.99,4.39,7.31,11.63
200305,9.51,2.86,4.65,8.64,9.8,6.29,3.49,3.94,10.12,5.23
200306,1.64,2.84,0.5,-0.96,0.35,1.91,3.44,4.15,0.74,0.91
200307,-1.68,6.6,4.98,-2.62,5.62,-1.93,3.29,0.48,-5.15,3.59
200308,0.3,7.85,4.13,6.18,6.07,1.16,6.74,-2.82,1.92,0.64
200309,1.13,-4.15,-3.75,-2.18,-0.91,-5.64,-4.54,0.29,3.85,0.26
200310,5.94,6.99,8.92,1.64,8.28,6.81,9.02,0.87,1.51,6.34
200311,3.61,3.08,2.07,0.65,1.85,-0.68,0.54,1.83,0.95,1.15
200312,3.44,12.27,6.73,13.6,2.16,7.64,-2.13,5.65,5.85,4.27
200401,0.06,-1.18,-0.64,0.23,4.51,1.4,0.45,3.09,1.91,2.9
200402,4.25,-0.08,1.97,4.53,-2.92,-0.49,6.09,0.9,2.11,2.13
200403,-0.09,-1.19,-0.3,0.02,-2.51,-2.06,0.29,-3.92,1.14,-0.64
200404,1.42,2.28,-0.14,2.66,-4.89,-0.48,-2.7,3.52,-3.56,-3.81
200405,-1.89,-1.65,1.64,0.58,4.82,-2.95,0.3,-0.41,1.25,1.73
200406,1.66,5.02,5.33,5.44,2.67,0.82,0.04,-0.5,2.03,1.32
200407,-5.98,-4.64,-4.05,3.32,-8.51,-1.02,-4.03,-5.92,1.06,-2.35
200408,0.77,-2.23,1.34,-1.39,-4.51,1.17,-1.2,1.64,3.66,1.88
200409,-2,2.3,1.92,8.84,3.47,1.41,2.61,-1.4,1.38,1.11
200410,2.83,-3,-1.43,0.64,5.15,3.46,3.06,-2.44,4.24,1.1
200411,4.6,7.27,7.22,6.57,5.76,3.61,3.67,0.68,4.89,4.72
200412,4.79,4.88,2.51,-2.31,3.1,4.29,3.5,5.66,2.49,4.43
200501,0.21,-7.02,-1.76,3.03,-6.35,-4.21,-1.07,-4.08,1.76,-2.18
200502,0.72,-0.25,4.1,19.41,0.04,-0.3,0.83,2.44,2.36,0.15
200503,-0.85,-8,-1.43,-3.44,-2.53,-0.18,0.04,-0.47,0.61,-2.37
200504,-0.95,-11.09,-4.68,-5.6,-4.47,-2,-5.29,3.95,2.13,-1.6
200505,2.34,8.84,2.91,2.07,8.2,1.54,6.43,1.48,1.66,3.24
200506,-1.68,2.1,-1.16,5.76,-1.64,0.14,2.43,-0.59,5.56,1.42
200507,2.61,5.41,5.83,6.14,6.16,3.09,5.82,3.72,2.98,2.42
200508,0.01,-2.87,-1.36,5.7,-0.36,-1.25,-5.62,-0.31,1.25,-1.68
200509,0.13,-5.15,0.84,7.26,0.65,-1.47,-1.8,-1.92,4.38,1.28
200510,-1.92,-4.38,-2.48,-10.16,-1.78,-2.98,1.56,-3.27,-6.85,1.36
200511,1.16,2.22,5.33,1.01,6.47,2.63,3.96,1.58,-0.22,4.93
200512,0.23,-0.64,1.44,0.49,-1.91,-1.66,-0.59,2.39,1.24,0.12
200601,0.11,5.85,5.18,12.54,4.08,3.82,2.01,2.17,3.03,1.59
200602,1.27,-0.45,1.03,-8.14,-0.99,3.33,1.41,1.07,0.22,0.97
200603,1.33,2.75,3.04,4,2.86,1.82,2.43,-0.96,-3.64,1.86
200604,1.17,0.34,4.06,4.67,-1.15,1.68,-1.58,-1.96,1.85,2.13
200605,1.68,0.68,-3.37,-3.46,-6.9,-0.22,-1.88,-2.18,1.5,-3.25
200606,0.3,1.77,-0.49,2.73,-1.44,2.96,0.29,-0.12,2.41,-0.37
200607,3.5,-3.01,-3.65,5.11,-3.79,2.42,-4.29,4.14,4.83,-0.9
200608,3.08,2.37,2.05,-3.29,7.42,2.28,2.22,2.33,2.28,1.72
200609,-0.62,4.28,1.89,-3.82,3.57,3.66,5.69,1.53,-2.11,3.23
200610,2.8,4.98,4.42,5.16,4.05,5.19,3.96,1.71,5.36,2.98
200611,1.41,1.78,3.54,8.6,3.01,0.63,-1.28,0.06,3.06,1.61
200612,2,-0.77,0.51,-1.93,-0.99,4.33,1.45,0.15,0.73,3.21
200701,1.52,2.85,3.17,-1.34,2,3,3.65,3.5,0.51,1.05
200702,-1.53,-0.48,0.77,-2.11,-2.34,-2.77,-0.59,-2.85,4.14,-2.28
200703,2.62,-1.04,1.61,5.88,0.86,2.32,0.75,-0.25,4.33,-0.24
200704,3.62,6.21,4.41,5.14,4.89,1.74,2.29,6.8,3.94,3.3
200705,2.89,3.19,4.78,7.13,3.93,7.31,2.36,1.14,1.2,3.18
200706,-1.06,1.87,-0.68,0.87,0.52,-1.8,-1.97,-3.4,-4.83,-2.74
200707,-4.19,-5.81,-0.01,-1.12,-1.06,-3.1,-5.35,-3.99,-3.72,-5.33
200708,1.83,-1.73,0.67,0.29,2.91,-0.86,1.52,2.27,1.84,1.17
200709,3.95,1.74,5.44,7.86,4.21,2.05,-0.63,3.53,3.54,2.66
200710,2.16,1,0.98,2.81,6.82,-2.17,1.18,1.54,6.83,0.2
200711,0.85,-9.02,-2.65,-4.36,-7.53,-6.43,-3.75,0.03,-0.72,-5.98
200712,-1.01,-2.19,1,7.68,1.49,-0.25,-2.67,-3.98,0.9,-3.47
200801,-5.2,-5.4,-7.43,-9.08,-12.37,-7.75,-0.49,-4.6,-6.93,-2.08
200802,-0.06,-5.97,0.74,6.87,-3.58,-3.88,-4.65,-0.93,-3.02,-7.87
200803,1.21,-4.13,-0.1,-2.94,0.66,-0.05,1.86,-1.77,0.81,-1.92
200804,-1.08,6.6,5.04,10.7,6.46,4.69,5.01,0.44,6.39,3.47
200805,3.32,1.36,3.3,4.23,5.68,4.73,1.18,1.63,3.58,-2.35
200806,-7.42,-19.56,-9.25,2.76,-8.83,-10.89,-8.08,-3.01,-0.4,-14.64
200807,2.25,-0.23,-0.28,-15.67,-0.53,-3.18,1.14,6.73,-7.13,4.3
200808,1.72,1.76,1.42,-0.03,2.39,4,5.38,1.8,-0.43,0.41
200809,-2.93,-9.19,-13.48,-12.1,-12.44,-12.61,-5.77,-5.96,-11.94,-6
200810,-13.02,-33.18,-20.75,-16.67,-18.33,-15.56,-15.13,-11.03,-11.12,-19.8
200811,-5.47,-10.3,-7.76,0.22,-10.9,-1.58,-7.69,-7.35,1.23,-12.4
200812,0.86,0.3,1.37,-2.42,2.17,3.46,4.88,6.74,-2.04,0.76
200901,-5.13,-13.78,-9.14,-3.53,-3.23,-10.28,-7.6,-2.21,-0.82,-17.81
200902,-7.65,-12.27,-13.49,-12.46,-5.06,-6.94,-3.06,-9.95,-12.59,-14.53
200903,6.42,11.95,7.61,3.95,11.5,7.51,9.95,7.06,2.79,13.01
200904,4.96,45.52,17.33,4.53,12.27,9.66,9.53,-0.9,2.09,16.17
200905,7.16,-3.65,5.49,10.37,3.03,1.05,-0.94,6.2,4.63,7.23
200906,0.65,4.31,-1.71,-4.75,4.55,1.65,-0.29,3.59,4.63,-2.02
200907,7.31,19.73,11.32,5.33,8.12,5.52,6.76,5.49,4.41,9.16
200908,0.74,2.45,2.97,0.79,2.27,0.73,3.7,2.21,0.25,7.7
200909,4.21,2.14,6.52,5.07,5.22,6.48,2.4,2.39,2.24,3.14
200910,-0.62,-0.63,-2.85,2.45,-1.52,-3.48,0.05,-3.72,-2.71,-5.38
200911,3.86,10.36,7.6,3.26,4.85,6.52,5.01,8.23,4.57,5.66
200912,2.64,5.69,2.88,-0.5,5.99,6.42,1.95,2.47,5.86,0.73
201001,-2.4,-0.43,-3.32,-4.84,-7.84,-6.72,-1.84,-0.02,-4.44,-0.54
201002,2.66,7.39,5.21,2.61,4.81,2.76,4.3,0.38,-0.42,3.64
201003,5.89,9.35,6.52,3.23,6.69,7.63,6.26,3.63,3.12,8.1
201004,-1.02,7.26,3.19,4.05,2.28,3.41,2.55,-2.18,2.85,1.83
201005,-5.73,-9.06,-8.42,-10.27,-7.78,-5.86,-5.36,-8.06,-6.29,-8.76
201006,-1.9,-10.67,-5.8,-6.36,-6.17,-3.84,-9.06,-1.67,-0.7,-6.52
201007,7.36,15.72,9.66,7.69,7.31,9.53,4.61,2.14,6.81,6.81
201008,-1.17,-9.67,-5.49,-3.43,-6.53,-1.99,-3.97,-1.66,0.37,-7.1
201009,6.14,13.52,10.09,9.21,12.56,7.87,12.15,9.01,3.65,8.51
201010,4.34,8.49,5.12,4.59,6.41,4.57,2.42,1.98,1.86,2.03
201011,-0.07,7.47,1.43,5.52,-0.74,-1.89,4.17,-3.34,-1.33,0.5
201012,4.35,8.61,7.01,9.41,5.99,6.58,3.23,5.44,3.22,9.23
201101,-2.37,0.3,2.98,6.93,3.93,0.07,-0.86,-0.72,2.2,2.1
201102,4.72,-1.78,3.42,7.63,2.42,7.4,2.26,3.32,2.43,2.94
201103,3.02,1.74,1.86,2.1,-1.45,1.68,1.1,2.29,0.92,-1.08
201104,4.61,2.22,2.96,1.59,3.14,3.3,4.51,6.34,4,1.06
201105,2.04,-3.54,-2.17,-4.52,-1.75,0.77,0.88,1.95,1.32,-2.64
201106,-1.08,-1.06,-0.61,-2.34,-2.46,-1.39,-0.89,-1.88,-0.34,-2.12
201107,-0.42,-8.93,-4.8,0.5,-0.52,-4.95,-0.64,-3.66,-0.33,-3.66
201108,-0.66,-12.08,-6.14,-10.02,-6.79,-5.06,-2.89,-3.16,0.17,-8.15
201109,-4.88,-14.1,-10.97,-12.31,-4.8,-5.77,-3.89,-3.95,-1.61,-11.1
201110,6.29,23.28,14.09,16.24,11.8,7.59,9.77,5.54,6.7,13.59
201111,1.44,-8.02,1.39,2.15,-2,0.3,1.06,1.3,1,-2.03
201112,1.89,-1.2,-0.78,-0.36,-1.42,3.13,0.9,3.51,2.93,1.46
201201,0.39,13.55,6.74,1.03,8.49,2.37,4.07,3.41,-2.71,7.23
201202,3.93,6.05,3.86,6.49,6.64,4.85,3.12,1.26,1.31,4.21
201203,3.88,0.94,0.68,-3.27,4.66,2.31,4.66,3.94,1.48,4.9
201204,0.81,-7.02,-0.72,-1.57,-2.11,1.75,0.96,0.61,1.73,-1.66
201205,-2.67,-8.16,-7.78,-10.56,-7.85,-0.81,-3.05,-3.25,-0.91,-7.73
201206,3.42,-5.56,1.25,5.78,2.91,7.05,2.17,6.83,3.4,4.89
201207,1.38,0.38,0.86,2.82,-0.11,4.14,1.24,1.63,3.62,-1.23
201208,0.12,4.15,3.26,2.37,4.8,0.97,2.75,0.98,-3.44,3.12
201209,0.89,3.57,1.66,3.82,1.24,4.86,1.95,4.69,2.11,3.79
201210,-1.71,5.88,-0.62,-1.88,-6.34,-2.4,-1.02,-1.91,1.09,0.91
201211,3.22,3.12,2.66,-1.5,1.46,0.07,1.46,1.5,-3.76,-0.37
201212,-2.28,7.31,2.76,1.33,0.36,1.15,-1.12,-0.53,0.08,3.67
201301,5.1,3.5,6.05,7.47,2.38,4.85,5.58,8.08,5.05,6.76
201302,3.19,0.01,1.28,0.68,0.67,2.29,0.85,1.32,2.2,1.41
201303,5.06,4.03,2.61,2.07,2.72,5.64,4.72,6.51,5.68,4.18
201304,3.78,3.65,0.75,-1.39,0.4,4.3,2.69,2.6,5.13,0.83
201305,-2.31,9.88,3.48,3.05,4.55,-1.8,2.23,1.62,-7.11,5.92
201306,0.11,-0.46,-1.99,-2.39,-2.92,2.09,-0.06,-1.37,0.82,-1.19
201307,2.86,9.01,6.15,5.18,5.7,3.42,5.9,8.08,4.58,5.69
201308,-3.93,-1.02,-1.84,-1.89,-0.2,-3.29,-4.23,-3.68,-4.42,-3.64
201309,1.95,6.47,5.2,1.97,3.83,4.28,4.51,4.16,1.04,3.83
201310,4.81,0.76,4.52,4.78,3.8,5.81,5.11,3.56,3.34,3.9
